epoch	time	lr	loss	acc	val_loss	val_acc
1	247.9278191830963	0.1	1.376878765555471	49.825864872911396	3.6472530588144716	51.356993779426
2	248.1917035151273	0.1	0.8958555064733881	51.24216392097269	9.401256451444155	48.016701490578754
3	247.46974842995405	0.1	0.8221628864652352	50.52240538835138	4.249270547738735	48.990953393669365
4	247.79435767792165	0.1	0.7746434573275267	54.60877641049454	1.488969436932871	49.54766875965859
5	247.6210930161178	0.1	0.6962863915818929	61.945669839795684	17.496835611392495	48.36464860261773
6	247.8845807602629	0.1	0.5602590598223075	73.67076851991149	321.96022482787725	50.24356300762816
7	247.21876557404175	0.1	0.43177660101592635	81.75063849547249	1.9527860679141995	49.7564370401551
8	247.54603701783344	0.1	0.26188970495050845	89.34293011731107	24.346757582184665	54.76687545351627
9	247.25246871914715	0.1	0.23220064497780074	91.24680752440896	17.317543048699363	48.50382743681481
10	247.59238466713578	0.1	0.16299591105693395	94.26514975621082	3.937391877755077	50.869867785406676
11	248.02023640507832	0.1	0.11785575213303887	95.70466682499624	18.591181491677265	51.2874043463997
12	247.73903714120388	0.1	0.14021088664134734	94.6134200139308	2.698586391838541	51.21781493461041
13	247.54464232409373	0.1	0.09243724251086845	96.51729742634288	11.262452781075973	48.990953417561
14	247.9099098201841	0.1	0.08894750172806316	96.95843974924541	19.02471271993057	50.03479475367791
15	248.37624404393137	0.1	0.05708053257616485	97.98003250522406	9.991914606127542	48.92136396860695
16	247.53625033190474	0.1	0.04563665648802909	98.44439284885071	3.5392751348624234	49.96520530472386
17	247.80537697579712	0.1	0.03581457769328269	98.69979103784537	20.216731756033795	51.63535145578404
18	247.49875855632126	0.1	0.04578269358239125	98.53726491757604	3.703987571375189	53.93180238462274
19	249.74298231909052	0.1	0.03627758147768679	98.95518922684003	3.5761098239516413	54.21016008487242
20	249.87908914871514	0.1	0.019877745424591253	99.34989551892268	9.534915348018469	49.68684761509268
21	250.86742614442483	0.1	0.03709930801480431	98.81588112375204	4.479505335529728	52.47042450078594
22	250.28360690316185	0.1	0.03227149897207648	98.76944508938936	19.023009641683178	49.8260264731814
23	250.77483189012855	0.1	0.03535152032410469	98.7230090550267	7.26103831167095	51.148225485656354
24	250.8958668448031	0.1	0.026851203952556368	99.00162526120269	6.535967451213712	46.97286014118872
25	250.32235749578103	0.1	0.019719367829331574	99.30345948456002	4.07459863557862	51.009046640840765
26	251.36086940811947	0.1	0.021340310974909363	99.30345948456002	18.969856680310595	49.13013224910346
27	251.55698918085545	0.1	0.042752121782978623	98.7230090550267	5.155349652470195	52.54001394708536
28	251.04315064195544	0.1	0.01752542144382584	99.30345948456002	6.84312677549337	50.452331250959915
29	250.72598335100338	0.1	0.012219947190410883	99.62851172509868	4.582200008211819	48.64300630552203
30	250.9730859771371	0.1	0.014427582169176946	99.60529370791734	4.381260571914492	52.26165623754449
31	251.2989029060118	0.1	0.009246405977812006	99.76781983172945	17.251217970187746	52.1224774126386
32	250.2940056831576	0.1	0.05375598535713198	98.30508474576271	4.0799557158908835	52.47042451405907
