epoch	time	lr	loss	acc	val_loss	val_acc
1	206.77771733980626	0.1	0.9069972133343087	50.754585560164706	0.8824225832126833	50.24356300762816
2	207.25304095912725	0.1	0.709936673067716	49.73299280418607	0.7549611390176214	51.7745302873265
3	207.4427558062598	0.1	0.6981651090346718	51.31181797428809	0.7446965355382003	48.92136397126157
4	207.81378041906282	0.1	0.6929047596490602	54.56234037613188	2.540280237078418	51.77453028998113
5	207.42862958693877	0.1	0.6946316394779337	54.33016020431855	0.8833259093985428	47.181628401775534
6	207.80432354519144	0.1	0.6625068346723925	60.784768984271835	1.0481136996213478	52.19206682442789
7	208.04331141384318	0.1	0.6190146658961392	66.70536336374028	1.0796731550326841	49.338900503053715
8	207.29937637597322	0.1	0.5150327952338644	74.78523334107267	1.2940700742712266	54.69728602845385
9	207.7624899619259	0.1	0.3896530715621954	83.28302762944044	1.1241789945066183	50.80027837361739
10	208.59332105517387	0.1	0.30136164771671886	87.11400046790313	1.8281182023329128	52.26165625745419
11	207.5141083598137	0.1	0.2503984083923409	89.20362201068029	2.2523247387646466	49.06054280678597
